County,Percentage
Acadia,18.1
Allen,22.6
Ascension,23.6
Assumption,29.6
Avoyelles,29.9
Beauregard,12.3
Bienville,41.9
Bossier,22.9
Caddo,49.8
Calcasieu,25.7
Caldwell,16
Cameron,4.1
Catahoula,30.7
Claiborne,51.9
Concordia,39.8
De Soto,36.1
East Baton Rouge,47
East Carroll,68.7
East Feliciana,42.9
Evangeline,28.1
Franklin,31.9
Grant,15.5
Iberia,32.6
Iberville,48.8
Jackson,28.6
Jefferson Davis,16.6
Jefferson,28
La Salle,12.2
Lafayette,26.8
Lafourche,13.6
Lincoln,40.8
Livingston,6.7
Madison,62.8
Morehouse,48.1
Natchitoches,41.3
Orleans,60.2
Ouachita,37.6
Plaquemines,21.3
Pointe Coupee,35.6
Rapides,32
Red River,39.6
Richland,35.7
Sabine,16.8
St. Bernard,23.7
St. Charles,26.5
St. Helena,52.3
St. James,49.1
St. John the Baptist,57.8
St. Landry,41.6
St. Martin,30.1
St. Mary,31.9
St. Tammany,12.5
Tangipahoa,30.3
Tensas,54.3
Terrebonne,19.2
Union,25.2
Vermilion,14.4
Vernon,14.6
Washington,30.4
Webster,34.3
West Baton Rouge,39.7
West Carroll,15.9
West Feliciana,44.6
Winn,30.9
