"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","AQS","280330002","1","10.6","ug/m3 LC","44","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"01/04/2016","AQS","280330002","1","6.8","ug/m3 LC","28","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"01/07/2016","AQS","280330002","1","5.9","ug/m3 LC","25","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"01/10/2016","AQS","280330002","1","3.8","ug/m3 LC","16","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"01/13/2016","AQS","280330002","1","4.8","ug/m3 LC","20","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"01/16/2016","AQS","280330002","1","12.1","ug/m3 LC","51","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"01/19/2016","AQS","280330002","1","3","ug/m3 LC","13","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"01/25/2016","AQS","280330002","1","5.1","ug/m3 LC","21","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"01/28/2016","AQS","280330002","1","8","ug/m3 LC","33","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"01/31/2016","AQS","280330002","1","6","ug/m3 LC","25","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"02/03/2016","AQS","280330002","1","2","ug/m3 LC","8","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"02/06/2016","AQS","280330002","1","6.5","ug/m3 LC","27","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"02/12/2016","AQS","280330002","1","13.7","ug/m3 LC","54","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"02/15/2016","AQS","280330002","1","15.7","ug/m3 LC","59","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"02/18/2016","AQS","280330002","1","8.3","ug/m3 LC","35","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"02/21/2016","AQS","280330002","1","10.6","ug/m3 LC","44","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"02/24/2016","AQS","280330002","1","4.8","ug/m3 LC","20","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"02/27/2016","AQS","280330002","1","5.4","ug/m3 LC","23","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/01/2016","AQS","280330002","1","5.6","ug/m3 LC","23","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/04/2016","AQS","280330002","1","11.7","ug/m3 LC","49","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/07/2016","AQS","280330002","1","10.4","ug/m3 LC","43","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/10/2016","AQS","280330002","1","2.2","ug/m3 LC","9","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/13/2016","AQS","280330002","1","4.2","ug/m3 LC","18","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/16/2016","AQS","280330002","1","2.6","ug/m3 LC","11","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/19/2016","AQS","280330002","1","5.9","ug/m3 LC","25","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/22/2016","AQS","280330002","1","5.5","ug/m3 LC","23","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/25/2016","AQS","280330002","1","5.9","ug/m3 LC","25","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/28/2016","AQS","280330002","1","4","ug/m3 LC","17","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"03/31/2016","AQS","280330002","1","6.5","ug/m3 LC","27","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"04/03/2016","AQS","280330002","1","5","ug/m3 LC","21","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"04/06/2016","AQS","280330002","1","6.9","ug/m3 LC","29","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
"04/09/2016","AQS","280330002","1","6.7","ug/m3 LC","28","Hernando","1","100.0000","88101","PM2.5 - Local Conditions","32820","Memphis, TN-MS-AR","28","Mississippi","033","DeSoto","34.82166","-89.98783"
