County,Percentage
Anderson,21.7
Andrews,1.9
Angelina,15.5
Aransas,1.7
Archer,1.2
Armstrong,1.1
Atascosa,1.3
Austin,9.3
Bailey,2.2
Bandera,1.1
Bastrop,7.4
Baylor,3.0
Bee,8.9
Bell,24.4
Bexar,8.5
Blanco,1.6
Borden,0.9
Bosque,2.1
Bowie,25.4
Brazoria,14.7
Brazos,11.0
Brewster,1.6
Briscoe,3.6
Brooks,1.0
Brown,4.1
Burleson,12.9
Burnet,2.1
Caldwell,6.5
Calhoun,3.2
Callahan,1.7
Cameron,0.8
Camp,16.7
Carson,0.9
Cass,16.9
Castro,2.7
Chambers,8.5
Cherokee,14.6
Childress,10.9
Clay,0.9
Cochran,4.3
Coke,0.9
Coleman,3.2
Collin,10.5
Collingsworth,6.1
Colorado,12.8
Comal,2.5
Comanche,1.1
Concho,2.9
Cooke,3.4
Coryell,17.7
Cottle,10.9
Crane,3.7
Crockett,1.6
Crosby,3.9
Culberson,1.0
Dallam,2.4
Dallas,23.5
Dawson,6.1
Deaf Smith,2.0
Delta,6.7
Denton,10.6
DeWitt,9.5
Dickens,5.9
Dimmit,1.6
Donley,5.9
Duval,1.5
Eastland,2.1
Ector,5.2
Edwards,1.1
El Paso,3.9
Ellis,11.4
Erath,2.0
Falls,24.2
Fannin,6.6
Fayette,6.6
Fisher,4.2
Floyd,4.1
Foard,4.8
Fort Bend,21.1
Franklin,4.0
Freestone,15.8
Frio,3.9
Gaines,2.2
Galveston,13.3
Garza,7.6
Gillespie,0.7
Glasscock,1.6
Goliad,5.3
Gonzales,7.3
Gray,5.2
Grayson,6.3
Gregg,20.9
Grimes,15.6
Guadalupe,8.6
Hale,5.8
Hall,9.2
Hamilton,1.0
Hansford,1.0
Hardeman,5.9
Hardin,5.6
Harris,19.9
Harrison,21.1
Hartley,7.0
Haskell,4.7
Hays,4.4
Hemphill,0.8
Henderson,6.4
Hidalgo,0.9
Hill,6.8
Hockley,4.0
Hood,1.1
Hopkins,7.4
Houston,25.5
Howard,7.2
Hudspeth,3.6
Hunt,8.3
Hutchinson,3.0
Irion,1.2
Jack,4.0
Jackson,6.5
Jasper,16.1
Jeff Davis,1.4
Jefferson,34.1
Jim Hogg,0.8
Jim Wells,1.1
Johnson,3.8
Jones,13.3
Karnes,9.3
Kaufman,12.5
Kendall,1.4
Kenedy,3.8
Kent,1.5
Kerr,1.9
Kimble,0.7
King,0.0
Kinney,2.1
Kleberg,4.2
Knox,6.2
La Salle,1.3
Lamar,13.4
Lamb,4.6
Lampasas,4.1
Lavaca,6.6
Lee,11.1
Leon,7.2
Liberty,10.0
Limestone,17.4
Lipscomb,1.9
Live Oak,4.8
Llano,1.2
Loving,4.6
Lubbock,7.8
Lynn,2.8
Madison,20.0
Marion,21.3
Martin,3.0
Mason,0.9
Matagorda,11.3
Maverick,0.6
McCulloch,2.7
McLennan,14.9
McMullen,2.7
Medina,3.0
Menard,1.6
Midland,6.8
Milam,9.6
Mills,1.1
Mitchell,10.5
Montague,0.7
Montgomery,5.6
Moore,3.9
Morris,22.7
Motley,2.9
Nacogdoches,18.3
Navarro,13.5
Newton,20.3
Nolan,5.2
Nueces,4.3
Ochiltree,1.2
Oldham,3.4
Orange,8.8
Palo Pinto,2.6
Panola,15.9
Parker,1.6
Parmer,1.7
Pecos,4.6
Polk,10.2
Potter,11.0
Presidio,1.5
Rains,2.6
Randall,3.5
Reagan,3.3
Real,1.1
Red River,16.8
Reeves,5.2
Refugio,6.4
Roberts,0.4
Robertson,20.3
Rockwall,6.8
Runnels,2.4
Rusk,17.6
Sabine,6.9
San Augustine,22.0
San Jacinto,9.7
San Patricio,2.0
San Saba,4.0
Schleicher,1.8
Scurry,5.4
Shackelford,1.8
Shelby,17.8
Sherman,1.8
Smith,17.8
Somervell,1.3
Starr,0.4
Stephens,2.8
Sterling,2.1
Stonewall,3.7
Sutton,1.0
Swisher,8.4
Tarrant,17.5
Taylor,8.3
Terrell,1.5
Terry,4.9
Throckmorton,1.3
Titus,10.0
Tom Green,4.4
Travis,8.9
Trinity,9.3
Tyler,11.4
Upshur,8.0
Upton,3.4
Uvalde,1.2
Val Verde,2.1
Van Zandt,2.9
Victoria,6.6
Walker,23.4
Waller,24.4
Ward,5.0
Washington,17.3
Webb,0.7
Wharton,13.8
Wheeler,3.2
Wichita,11.3
Wilbarger,8.2
Willacy,2.7
Williamson,7.2
Wilson,1.8
Winkler,3.3
Wise,1.6
Wood,5.5
Yoakum,1.5
Young,1.6
Zapata,0.4
Zavala,1.3
